transaction_id,account_id,cat_id,amount,date,description
249,1,5,46.51,2025-10-15,Restaurant
250,1,5,32.82,2025-10-22,Restaurant
251,1,5,67.62,2025-10-16,Restaurant
252,1,5,64.16,2025-10-26,Restaurant
253,1,6,58.81,2025-10-10,Entertainment
254,1,6,67.64,2025-10-21,Entertainment
255,2,7,144.24,2025-10-27,Pharmacy/doctor
256,2,7,110.74,2025-10-08,Pharmacy/doctor
257,2,8,59.85,2025-10-26,Shopping
258,2,8,33.09,2025-10-01,Shopping
259,2,8,131.97,2025-10-16,Shopping
260,1,10,4500,2025-10-15,Monthly salary
261,1,10,4500,2025-10-28,Monthly salary
262,2,12,1086.14,2025-10-19,Dividend
263,1,1,1500,2025-11-01,Monthly rent
264,1,3,102,2025-11-03,Electric & water
265,1,9,52,2025-11-05,Streaming & apps
266,1,2,79.04,2025-11-13,Grocery run
267,1,2,150.02,2025-11-21,Grocery run
268,1,2,177.67,2025-11-25,Grocery run
269,1,2,164.55,2025-11-04,Grocery run
270,1,2,68.14,2025-11-08,Grocery run
271,1,4,37.87,2025-11-02,Uber/transport
272,1,4,16.07,2025-11-28,Uber/transport
273,1,4,50.07,2025-11-05,Uber/transport
274,1,4,36.56,2025-11-22,Uber/transport
275,1,4,39.77,2025-11-18,Uber/transport
276,1,5,68.9,2025-11-20,Restaurant
277,1,5,45.6,2025-11-17,Restaurant
278,1,5,46.75,2025-11-18,Restaurant
279,1,5,64.62,2025-11-06,Restaurant
280,1,5,47.0,2025-11-16,Restaurant
281,1,6,69.2,2025-11-27,Entertainment
282,1,6,81.1,2025-11-25,Entertainment
283,1,6,68.27,2025-11-16,Entertainment
284,2,7,39.3,2025-11-15,Pharmacy/doctor
285,2,7,58.14,2025-11-10,Pharmacy/doctor
286,2,7,68.37,2025-11-11,Pharmacy/doctor
287,2,7,39.67,2025-11-18,Pharmacy/doctor
288,2,8,92.03,2025-11-08,Shopping
289,2,8,148.62,2025-11-05,Shopping
290,2,8,97.6,2025-11-03,Shopping
291,1,10,4500,2025-11-15,Monthly salary
292,1,10,4500,2025-11-28,Monthly salary
293,1,11,665.92,2025-11-02,Freelance work
294,2,12,620.14,2025-11-25,Dividend
295,1,1,1500,2025-12-01,Monthly rent
296,1,3,127,2025-12-03,Electric & water
297,1,9,40,2025-12-05,Streaming & apps
298,1,2,40.94,2025-12-16,Grocery run
299,1,2,87.78,2025-12-12,Grocery run
300,1,2,176.55,2025-12-13,Grocery run
301,1,2,107.04,2025-12-27,Grocery run
302,1,2,157.54,2025-12-24,Grocery run
303,1,4,20.97,2025-12-16,Uber/transport
304,1,4,34.28,2025-12-14,Uber/transport
305,1,4,26.81,2025-12-13,Uber/transport
306,1,5,29.9,2025-12-24,Restaurant
307,1,5,75.17,2025-12-15,Restaurant
308,1,5,52.05,2025-12-20,Restaurant
309,1,5,55.51,2025-12-13,Restaurant
310,1,5,21.63,2025-12-22,Restaurant
311,1,6,88.68,2025-12-05,Entertainment
312,1,6,19.27,2025-12-06,Entertainment
313,1,6,42.82,2025-12-13,Entertainment
314,1,6,42.78,2025-12-15,Entertainment
315,1,6,89.77,2025-12-25,Entertainment
316,2,7,144.14,2025-12-25,Pharmacy/doctor
317,2,7,60.27,2025-12-14,Pharmacy/doctor
318,2,7,86.44,2025-12-03,Pharmacy/doctor
319,2,7,94.73,2025-12-24,Pharmacy/doctor
320,2,8,138.78,2025-12-08,Shopping
321,2,8,192.52,2025-12-25,Shopping
322,2,8,156.99,2025-12-02,Shopping
323,2,8,59.89,2025-12-08,Shopping
324,1,10,4500,2025-12-15,Monthly salary
325,1,10,4500,2025-12-28,Monthly salary
326,1,11,352.38,2025-12-05,Freelance work
327,2,12,314.39,2025-12-07,Dividend
